Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999
1,Jake Allen,31,MTL,35,35,9,20,4,107,1123,1016,.905,3.30,2,6.0,1948,18,.514,8,102,-2.55,0,0,0,2,allenja01
2,Hugo Alnefelt,20,TBL,1,0,0,0,0,3,10,7,.700,9.00,0,-0.2,20,0,,0,323,-2.07,0,0,0,0,alnefhu01
3,Frederik Andersen,32,CAR,52,51,35,14,3,111,1431,1320,.922,2.17,4,10.2,3071,30,.588,5,83,22.09,0,4,4,0,anderfr01
4,Craig Anderson,40,BUF,31,31,17,12,2,97,945,848,.897,3.12,0,4.3,1867,14,.452,7,110,-9.11,0,1,1,0,andercr01
5,Justus Annunen,21,COL,2,1,1,0,1,7,51,44,.863,4.34,0,0.1,97,0,.000,1,148,-2.26,0,1,1,0,annunju01
6,Jonathan Bernier,33,NJD,10,8,4,4,1,26,264,238,.902,3.06,0,1.3,510,3,.375,1,106,-1.45,0,0,0,0,bernijo01
7,Jean-François Bérubé,30,CBJ,6,6,3,2,0,21,209,188,.900,4.12,0,1.0,306,4,.667,2,108,-1.56,0,1,1,0,berubje02
8,Jordan Binnington,28,STL,37,37,18,14,4,112,1135,1023,.901,3.13,2,5.6,2145,16,.432,7,106,-6.44,0,0,0,14,binnijo01
9,Mackenzie Blackwood,25,NJD,25,24,9,10,4,79,731,652,.892,3.39,2,2.9,1399,9,.375,2,116,-11.01,0,0,0,0,blackma01
10,Sergei Bobrovsky,33,FLA,54,53,39,7,3,137,1566,1429,.913,2.67,3,9.6,3082,33,.623,6,94,8.65,0,0,0,4,bobrose01
11,Laurent Brossoit,28,VEG,24,21,10,9,3,62,588,526,.895,2.90,1,2.5,1281,10,.476,4,113,-7.31,0,0,0,0,brossla01
12,Jack Campbell,30,TOR,49,47,31,9,6,123,1430,1307,.914,2.64,5,8.9,2795,28,.596,10,92,10.00,0,1,1,0,campbja01
13,Eric Comrie,26,WPG,19,16,10,5,1,44,550,506,.920,2.58,1,3.8,1025,10,.625,1,86,7.15,0,1,1,0,comrier01
14,Pheonix Copley,30,WSH,2,1,0,1,0,5,41,36,.878,3.11,0,0.1,97,0,.000,1,131,-1.19,0,0,0,0,copleph01
15,Joey Daccord,25,SEA,5,4,0,4,0,21,140,119,.850,4.30,0,0.0,293,0,.000,3,161,-7.98,0,0,0,0,daccojo01
16,Nico Daws,21,NJD,25,23,10,11,1,66,617,551,.893,3.11,0,2.5,1272,7,.304,7,115,-8.62,0,0,0,0,dawsni01
17,Collin Delia,27,CHI,8,6,1,4,1,22,218,196,.899,3.85,0,1.0,343,3,.500,1,109,-1.72,0,0,0,0,deliaco01
18,Aaron Dell,32,BUF,12,9,1,8,1,38,354,316,.893,4.03,0,1.4,565,2,.222,2,115,-5.08,0,0,0,2,dellaa01
19,Thatcher Demko,26,VAN,64,61,33,22,7,168,1967,1799,.915,2.72,1,12.4,3701,35,.574,7,92,14.94,0,2,2,2,demkoth01
20,Casey DeSmith,30,PIT,26,24,11,6,5,66,769,703,.914,2.79,3,4.8,1418,12,.500,4,92,5.52,0,0,0,0,desmica01
21,Michael DiPietro,22,VAN,1,1,0,1,0,3,17,14,.824,3.14,0,-0.1,57,0,.000,1,190,-1.42,0,0,0,0,dipiemi01
