Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,PlayerID
467,Garnet Hathaway,31,BOS,RW,25,4,2,6,-1,17,4,0,0,2,1,0,1,18,22.2,29,276:41,11:04,0,3,0.0,18,70,3,4,,hathaga01
468,Nick Holden,35,OTT,D,65,2,14,16,0,10,2,0,0,0,13,0,1,73,2.7,149,1085:58,16:42,0,0,,69,79,10,31,,holdeni01
469,Caleb Jones,25,CHI,D,73,4,12,16,-19,40,3,1,0,1,9,3,0,86,4.7,197,1402:18,19:13,0,0,,118,116,29,49,,jonesca01
470,Boris Katchouk,24,CHI,LW,58,5,11,16,-10,27,5,0,0,2,10,0,1,68,7.4,138,701:12,12:05,3,12,20.0,15,85,24,17,,katchbo01
471,Josh Leivo,29,STL,LW,51,4,12,16,0,25,4,0,0,0,12,0,0,91,4.4,163,606:27,11:53,3,4,42.9,13,55,30,10,,leivojo01
472,Nils Lundkvist,22,DAL,D,60,6,10,16,-5,26,5,1,0,2,8,2,0,94,6.4,195,978:32,16:19,0,0,,67,49,6,32,AR-6,lundkni01
473,Josh Mahura,24,FLA,D,82,4,12,16,17,48,4,0,0,1,12,0,0,78,5.1,197,1151:16,14:02,0,0,,70,101,12,25,,mahurjo01
474,Brock McGinn,28,2TM,LW,75,12,7,19,-6,21,10,0,2,3,7,0,0,91,13.2,156,977:33,13:02,4,10,28.6,43,84,23,19,,mcginbr01
474,Brock McGinn,28,PIT,LW,60,10,6,16,0,21,8,0,2,3,6,0,0,77,13.0,127,791:23,13:11,4,10,28.6,37,75,21,15,,mcginbr01
474,Brock McGinn,28,ANA,LW,15,2,1,3,-6,0,2,0,0,0,1,0,0,14,14.3,29,186:10,12:25,0,0,,6,9,2,4,,mcginbr01
475,Tyler Pitlick,31,STL,C,61,7,9,16,-1,14,7,0,0,0,9,0,0,54,13.0,96,614:37,10:05,2,2,50.0,29,103,19,6,,pitlity01
476,Carson Soucy,28,SEA,D,78,3,13,16,18,68,3,0,0,0,11,0,2,87,3.4,196,1270:46,16:18,0,0,,96,143,29,32,,soucyca01
477,Oliver Wahlstrom,22,NYI,RW,35,7,9,16,5,32,6,1,0,1,9,0,0,70,10.0,140,425:48,12:10,7,13,35.0,15,50,12,11,,wahlsol01
478,Jesse Ylönen,23,MTL,RW,37,6,10,16,-11,0,5,1,0,1,10,0,0,43,14.0,80,497:32,13:27,3,3,50.0,28,14,10,20,,yloneje01
479,Wade Allison,25,PHI,RW,60,9,6,15,-3,36,9,0,0,2,6,0,0,89,10.1,157,773:41,12:54,1,5,16.7,62,190,20,7,,alliswa01
480,Justin Barron,21,MTL,D,39,4,11,15,-2,20,2,1,1,1,10,1,0,40,10.0,93,635:50,16:18,0,0,,38,49,5,34,,barroju01
481,Nathan Bastian,25,NJD,RW,43,6,9,15,7,31,6,0,0,1,9,0,0,62,9.7,102,534:44,12:26,11,26,29.7,38,99,11,6,,bastina01
482,Cody Ceci,29,EDM,D,80,1,14,15,11,24,1,0,0,0,14,0,0,88,1.1,192,1610:45,20:08,0,0,,110,139,20,39,,cecico01
483,Luke Evangelista,20,NSH,RW,24,7,8,15,7,6,7,0,0,1,6,2,0,54,13.0,78,397:45,16:34,0,0,,6,9,15,9,,evanglu01
484,Dylan Guenther,19,ARI,RW,33,6,9,15,-7,10,2,4,0,1,7,2,0,53,11.3,108,432:42,13:07,2,2,50.0,11,18,10,15,,guentdy01
485,Johnathan Kovacevic,25,MTL,D,77,3,12,15,3,39,3,0,0,0,12,0,0,92,3.3,204,1341:18,17:25,0,0,,86,93,36,90,,kovacjo01
486,Dmitry Kulikov,32,2TM,D,67,3,13,16,-13,34,3,0,0,0,13,0,0,84,3.6,148,1304:46,19:28,0,0,,108,96,19,45,,kulikdm01
486,Dmitry Kulikov,32,ANA,D,61,3,12,15,-11,30,3,0,0,0,12,0,0,80,3.8,141,1232:44,20:13,0,0,,103,87,14,44,,kulikdm01
486,Dmitry Kulikov,32,PIT,D,6,0,1,1,-2,4,0,0,0,0,1,0,0,4,0.0,7,72:02,12:00,0,0,,5,9,5,1,,kulikdm01
487,Rasmus Kupari,22,LAK,C,66,3,12,15,-5,12,3,0,0,0,11,0,1,53,5.7,96,666:16,10:06,220,183,54.6,34,80,16,12,,kuparra01
488,Oskar Lindblom,26,SJS,LW,73,6,9,15,-16,18,6,0,0,0,8,1,0,75,8.0,133,771:54,10:34,9,10,47.4,24,64,15,13,,lindbos01
489,Jacob Middleton,27,MIN,D,79,3,12,15,15,72,3,0,0,0,11,0,1,79,3.8,177,1504:06,19:02,0,0,,155,115,18,23,,middlja01
490,Vladislav Namestnikov,30,2TM,C,77,8,17,25,5,35,7,1,0,0,15,2,0,108,7.4,178,972:04,12:37,77,128,37.6,39,108,34,11,,namesvl01
490,Vladislav Namestnikov,30,TBL,C,57,6,9,15,-2,19,6,0,0,0,7,2,0,72,8.3,113,674:31,11:50,54,85,38.8,23,80,24,9,,namesvl01
490,Vladislav Namestnikov,30,WPG,C,20,2,8,10,7,16,1,1,0,0,8,0,0,36,5.6,65,297:33,14:53,23,43,34.8,16,28,10,2,,namesvl01
491,Matthew Nieto,30,2TM,LW,81,12,12,24,-15,16,12,0,0,2,11,1,0,115,10.4,174,1095:30,13:31,9,9,50.0,32,43,35,22,,nietoma01
491,Matthew Nieto,30,SJS,LW,45,8,7,15,-22,8,8,0,0,2,6,1,0,70,11.4,109,704:04,15:39,5,6,45.5,18,28,20,17,,nietoma01
491,Matthew Nieto,30,COL,LW,36,4,5,9,7,8,4,0,0,0,5,0,0,45,8.9,65,391:26,10:52,4,3,57.1,14,15,15,5,,nietoma01
492,Mathieu Olivier,25,CBJ,F,66,5,10,15,-20,81,5,0,0,1,10,0,0,75,6.7,139,767:36,11:38,2,13,13.3,58,178,17,8,,olivima01
493,Michael Pezzetta,24,MTL,C,63,7,8,15,-4,77,7,0,0,0,7,1,0,70,10.0,115,587:19,9:19,8,12,40.0,28,239,4,17,,pezzemi01
494,Rem Pitlick,25,MTL,C,46,6,9,15,-15,22,5,1,0,1,8,0,1,30,20.0,57,594:26,12:55,25,33,43.1,18,23,12,31,,pitlire01
495,Aliaksei Protas,22,WSH,C,58,4,11,15,-8,12,4,0,0,0,11,0,0,83,4.8,139,668:01,11:31,21,43,32.8,15,39,17,21,,protaal01
496,Ryan Reaves,36,2TM,RW,73,5,10,15,-6,43,5,0,0,0,10,0,0,48,10.4,79,680:25,9:19,4,11,26.7,24,196,15,16,,reavery01
496,Ryan Reaves,36,MIN,RW,61,5,10,15,-1,31,5,0,0,0,10,0,0,45,11.1,74,579:01,9:30,2,7,22.2,20,152,12,16,,reavery01
496,Ryan Reaves,36,NYR,RW,12,0,0,0,-5,12,0,0,0,0,0,0,0,3,0.0,5,101:24,8:27,2,4,33.3,4,44,3,0,,reavery01
497,Lukas Reichel,20,CHI,LW,23,7,8,15,-8,6,7,0,0,0,5,3,0,42,16.7,68,376:26,16:22,5,8,38.5,15,7,13,14,,reichlu01
498,Marc Staal,36,FLA,D,82,3,12,15,10,43,3,0,0,0,12,0,0,55,5.5,160,1491:53,18:12,0,0,,122,152,14,25,,staalma01
499,Colin White,26,FLA,C,68,8,7,15,0,12,8,0,0,0,7,0,0,64,12.5,114,655:12,9:38,84,111,43.1,29,61,14,16,,whiteco02
500,Joel Armia,29,MTL,RW,43,7,7,14,-7,22,6,0,1,0,6,1,0,69,10.1,126,642:41,14:57,3,6,33.3,25,37,18,13,,armiajo01
501,Zach Aston-Reese,28,TOR,C,77,10,4,14,-6,25,10,0,0,2,4,0,0,89,11.2,167,841:26,10:56,7,7,50.0,43,163,18,12,,astonza01
502,Gavin Bayreuther,28,CBJ,D,51,2,12,14,-18,23,2,0,0,0,11,1,0,61,3.3,118,813:18,15:57,0,0,,71,54,9,9,,bayrega01
503,Alex Belzile,31,MTL,F,31,6,8,14,0,13,6,0,0,0,8,0,0,40,15.0,67,376:09,12:08,96,109,46.8,22,27,8,13,,belzial01
504,Nick Blankenburg,24,CBJ,D,36,4,10,14,-16,16,4,0,0,1,6,4,0,50,8.0,104,690:16,19:10,0,0,,49,61,12,13,,blankni01
505,T.J. Brodie,32,TOR,D,58,2,12,14,10,14,2,0,0,0,11,0,1,58,3.4,101,1230:37,21:13,0,0,,111,47,26,43,,broditj01
506,Jonas Brodin,29,MIN,D,60,3,11,14,13,30,3,0,0,0,9,0,2,90,3.3,180,1371:51,22:52,0,0,,130,50,27,23,,brodijo01
507,Jalen Chatfield,26,CAR,D,78,6,8,14,23,35,5,0,1,2,7,0,1,93,6.5,215,1101:44,14:07,0,0,,63,78,28,21,,chatfja01
508,Mathew Dumba,28,MIN,D,79,4,10,14,-8,81,4,0,0,2,10,0,0,99,4.0,258,1680:56,21:17,0,0,,116,104,17,35,,dumbama01
509,Liam Foudy,22,CBJ,C,62,7,7,14,-26,8,7,0,0,0,7,0,0,67,10.4,130,752:21,12:08,3,6,33.3,18,60,23,7,,foudyli01
510,Sam Gagner,33,WPG,C,48,8,6,14,-4,13,7,1,0,2,4,2,0,78,10.3,125,584:15,12:10,14,32,30.4,14,16,12,10,,gagnesa01
511,Brendan Gallagher,30,MTL,RW,37,8,6,14,-5,45,8,0,0,2,4,2,0,93,8.6,177,528:25,14:17,6,11,35.3,13,18,5,17,,gallabr01
512,Tanner Jeannot,25,2TM,F,76,6,12,18,-7,107,6,0,0,1,11,0,1,107,5.6,190,1083:14,14:15,10,13,43.5,62,290,29,30,,jeannta01
512,Tanner Jeannot,25,NSH,F,56,5,9,14,-1,85,5,0,0,1,9,0,0,87,5.7,151,844:57,15:05,5,9,35.7,51,213,24,23,,jeannta01
512,Tanner Jeannot,25,TBL,F,20,1,3,4,-6,22,1,0,0,0,2,0,1,20,5.0,39,238:17,11:55,5,4,55.6,11,77,5,7,,jeannta01
513,Axel Jonsson-Fjällby,24,WPG,LW,50,6,8,14,-1,8,6,0,0,2,7,0,1,54,11.1,98,522:48,10:27,1,4,20.0,18,43,13,14,,jonssax01
514,Jujhar Khaira,28,CHI,LW,51,6,8,14,-11,31,4,1,1,0,7,1,0,59,10.2,111,707:49,13:53,154,164,48.4,40,108,23,20,,khairju01
515,Isac Lundeström,23,ANA,C,61,4,10,14,-13,2,3,0,1,0,10,0,0,60,6.7,104,874:22,14:20,286,316,47.5,43,20,23,13,,lundeis01
516,Ilya Lyubushkin,28,BUF,D,68,2,12,14,-2,38,1,0,1,1,11,0,1,41,4.9,78,1020:36,15:01,0,0,,104,99,27,20,,lyubuil01
517,Pat Maroon,34,TBL,LW,80,5,9,14,-5,150,5,0,0,0,8,1,0,62,8.1,122,827:35,10:21,2,10,16.7,12,172,26,19,,maroopa01
518,Alec Martinez,35,VEG,D,77,3,11,14,30,29,2,0,1,2,11,0,0,76,3.9,197,1480:19,19:13,0,0,,244,48,29,30,AS-21,martial01
519,Ryan Poehling,24,PIT,C,53,7,7,14,-2,8,5,0,2,0,6,0,1,64,10.9,110,623:51,11:46,186,225,45.3,41,57,29,4,,poehlry01
520,Jesse Puljujärvi,24,2TM,RW,75,5,11,16,-13,32,5,0,0,1,11,0,0,125,4.0,227,917:23,12:14,0,2,0.0,26,139,24,20,,puljuje01
520,Jesse Puljujärvi,24,EDM,RW,58,5,9,14,-11,30,5,0,0,1,9,0,0,88,5.7,162,710:07,12:15,0,2,0.0,21,112,19,13,,puljuje01
520,Jesse Puljujärvi,24,CAR,RW,17,0,2,2,-2,2,0,0,0,0,2,0,0,37,0.0,65,207:16,12:12,0,0,,5,27,5,7,,puljuje01
521,Nick Seeler,29,PHI,D,77,4,10,14,1,56,4,0,0,0,9,0,1,84,4.8,164,1115:42,14:29,0,0,,161,126,9,24,,seeleni01
522,Evgeny Svechnikov,26,SJS,LW,59,8,6,14,-6,26,8,0,0,0,6,0,0,64,12.5,122,634:07,10:45,6,6,50.0,21,100,24,21,,svechev01
523,Conor Timmins,24,2TM,D,27,2,12,14,-1,8,2,0,0,1,8,4,0,19,10.5,52,407:26,15:05,0,0,,18,23,6,17,,timmico01
523,Conor Timmins,24,TOR,D,25,2,12,14,1,8,2,0,0,1,8,4,0,16,12.5,47,390:18,15:37,0,0,,18,23,6,16,,timmico01
523,Conor Timmins,24,ARI,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,5,17:08,8:34,0,0,,0,0,0,1,,timmico01
524,Jakub Vrána,26,2TM,LW,25,11,5,16,3,10,7,4,0,2,5,0,0,63,17.5,107,363:45,14:33,2,5,28.6,6,14,9,9,,vranaja01
524,Jakub Vrána,26,STL,LW,20,10,4,14,2,10,6,4,0,2,4,0,0,56,17.9,92,303:20,15:10,1,3,25.0,4,9,8,4,,vranaja01
524,Jakub Vrána,26,DET,LW,5,1,1,2,1,0,1,0,0,0,1,0,0,7,14.3,15,60:25,12:05,1,2,33.3,2,5,1,5,,vranaja01
525,Pierre-Édouard Bellemare,37,TBL,LW,73,4,9,13,-9,34,4,0,0,0,7,0,2,51,7.8,87,823:39,11:17,322,294,52.3,48,67,30,21,,bellepi01
526,Yegor Chinakhov,21,CBJ,RW,30,4,9,13,-6,10,3,1,0,0,8,1,0,44,9.1,91,397:34,13:15,1,2,33.3,17,27,21,10,,chinaye01
527,Joel Edmundson,29,MTL,D,61,2,11,13,-29,58,2,0,0,0,10,0,1,69,2.9,126,1193:30,19:34,0,0,,149,112,12,71,,edmunjo01
528,Erik Gudbranson,31,CBJ,D,70,1,12,13,-24,57,1,0,0,1,12,0,0,102,1.0,215,1490:56,21:18,0,0,,137,119,13,34,,gudbrer01
529,Pontus Holmberg,23,TOR,RW,37,5,8,13,0,18,4,1,0,2,8,0,0,27,18.5,49,385:32,10:25,93,126,42.5,18,24,7,13,,holmbpo01
530,Brett Howden,24,VEG,C,54,6,7,13,5,55,6,0,0,0,7,0,0,53,11.3,108,705:11,13:04,117,110,51.5,34,107,24,7,,howdebr01
531,Henri Jokiharju,23,BUF,D,60,3,10,13,-12,30,3,0,0,0,10,0,0,79,3.8,153,1261:28,21:01,0,0,,58,63,20,32,,jokihhe01
532,Luke Kunin,25,SJS,C,31,5,8,13,-9,42,3,2,0,0,6,2,0,58,8.6,99,478:23,15:26,5,7,41.7,27,63,12,6,,kuninlu01
533,Connor Murphy,29,CHI,D,80,7,6,13,-10,69,5,0,2,0,6,0,0,85,8.2,177,1551:12,19:23,0,0,,160,165,26,37,,murphco02
534,Andrew Peeke,24,CBJ,D,80,6,7,13,-41,22,6,0,0,1,6,0,1,90,6.7,188,1699:45,21:15,0,0,,197,180,24,31,,peekean01
535,Kiefer Sherwood,27,NSH,RW,32,7,6,13,4,30,6,1,0,0,5,1,0,57,12.3,103,434:56,13:36,6,4,60.0,15,103,17,14,,sherwki01
536,Chris Tanev,33,CGY,D,65,1,12,13,7,21,1,0,0,1,11,1,0,75,1.3,163,1307:49,20:07,0,0,,130,51,24,34,,tanevch01
537,Sean Walker,28,LAK,D,70,3,10,13,-3,36,3,0,0,1,9,1,0,94,3.2,185,1037:57,14:50,0,0,,104,77,13,32,,walkese01
538,Arber Xhekaj,22,MTL,D,51,5,8,13,-9,101,3,2,0,0,7,1,0,75,6.7,169,778:48,15:16,0,0,,46,159,14,38,,xhekaar01
539,Jaret Anderson-Dolan,23,LAK,C,46,7,5,12,-11,2,7,0,0,2,4,1,0,54,13.0,79,488:24,10:37,23,16,59.0,29,61,4,7,,anderja01
540,Josh Archibald,30,PIT,RW,62,6,6,12,6,43,6,0,0,0,6,0,0,71,8.5,112,618:34,9:59,1,3,25.0,28,195,14,5,,archijo01
541,Nicolas Aubé-Kubel,26,2TM,RW,53,4,8,12,1,50,4,0,0,0,8,0,0,67,6.0,133,601:40,11:21,6,8,42.9,9,117,14,18,,aubekni01
541,Nicolas Aubé-Kubel,26,WSH,RW,47,4,8,12,2,46,4,0,0,0,8,0,0,65,6.2,127,547:12,11:39,6,7,46.2,8,96,14,17,,aubekni01
541,Nicolas Aubé-Kubel,26,TOR,RW,6,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,6,54:28,9:05,0,1,0.0,1,21,0,1,,aubekni01
542,Cal Clutterbuck,35,NYI,RW,49,6,6,12,9,30,6,0,0,1,6,0,0,44,13.6,79,598:58,12:13,1,4,20.0,33,194,10,15,,cluttca01
543,Calvin de Haan,31,CAR,D,53,2,10,12,7,20,2,0,0,0,10,0,0,51,3.9,153,717:15,13:32,0,0,,49,84,15,17,,dehaaca01
544,Nicolas Deslauriers,31,PHI,LW,80,6,6,12,-11,136,5,0,1,0,6,0,0,70,8.6,131,807:32,10:06,3,8,27.3,26,306,13,8,,deslani01
545,Phillip Di Giuseppe,29,VAN,LW,30,6,6,12,-1,14,6,0,0,0,4,1,1,71,8.5,99,437:09,14:34,1,3,25.0,10,52,10,5,,digiuph01
546,Derek Forbort,30,BOS,D,54,5,7,12,12,23,3,0,2,2,7,0,0,38,13.2,103,957:32,17:44,0,0,,88,106,14,24,,forbode01
547,A.J. Greer,26,BOS,LW,61,5,7,12,9,114,5,0,0,1,7,0,0,66,7.6,107,555:39,9:07,2,1,66.7,25,101,17,14,,greeraj01
548,Mark Jankowski,28,NSH,C,50,7,5,12,-1,18,4,0,3,3,5,0,0,57,12.3,106,621:59,12:26,191,152,55.7,31,45,15,12,,jankoma01
549,Jeremy Lauzon,25,NSH,D,67,3,9,12,-11,66,3,0,0,0,8,0,1,77,3.9,162,1128:24,16:51,0,0,,75,250,3,23,,lauzoje01
550,Jaycob Megna,30,2TM,D,54,1,11,12,3,21,1,0,0,0,10,0,1,56,1.8,126,1018:46,18:52,0,0,,66,86,14,26,,megnaja02
550,Jaycob Megna,30,SJS,D,48,1,11,12,6,21,1,0,0,0,10,0,1,49,2.0,104,914:36,19:03,0,0,,63,75,13,23,,megnaja02
550,Jaycob Megna,30,SEA,D,6,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,22,104:10,17:22,0,0,,3,11,1,3,,megnaja02
551,Jonathon Merrill,30,MIN,D,73,2,10,12,-2,38,2,0,0,0,10,0,0,43,4.7,99,1105:37,15:09,0,0,,107,47,18,14,,merrijo01
552,Zach Whitecloud,26,VEG,D,59,5,7,12,10,41,5,0,0,1,7,0,0,64,7.8,139,1009:35,17:07,0,0,,97,90,24,25,,whiteza01
553,Marcus Björk,25,CBJ,D,33,3,8,11,-9,42,2,1,0,0,3,5,0,34,8.8,66,599:02,18:09,0,0,,47,45,2,13,,bjorkma01
554,Walker Duehr,25,CGY,F,27,7,4,11,0,4,7,0,0,2,4,0,0,47,14.9,79,275:18,10:12,1,6,14.3,4,55,5,3,,duehrwa01
555,Alexander Edler,36,LAK,D,64,2,9,11,-1,34,2,0,0,1,9,0,0,56,3.6,154,945:34,14:46,0,0,,104,106,6,27,,edleral01
556,Dante Fabbro,24,NSH,D,79,2,9,11,-4,50,2,0,0,0,8,1,0,101,2.0,204,1378:21,17:27,0,0,,129,113,19,42,,fabbrda01
557,Mario Ferraro,24,SJS,D,72,4,7,11,-31,24,4,0,0,0,6,1,0,66,6.1,147,1555:26,21:36,0,1,0.0,145,129,42,27,,ferrama01
558,Vinnie Hinostroza,28,BUF,C,26,2,9,11,-1,6,2,0,0,1,8,0,1,38,5.3,75,327:37,12:36,1,3,25.0,7,1,8,7,,hinosvi01
559,Mark Kastelic,23,OTT,C,65,7,4,11,-6,102,7,0,0,2,4,0,0,73,9.6,119,578:03,8:54,336,254,56.9,37,154,19,15,,kastema01
560,Liam O'Brien,28,ARI,C,56,3,8,11,-5,114,3,0,0,0,8,0,0,39,7.7,74,639:54,11:26,4,11,26.7,28,203,6,20,,obrieli01
561,Drew O'Connor,24,PIT,F,46,5,6,11,-3,12,5,0,0,0,6,0,0,62,8.1,120,451:31,9:49,18,21,46.2,14,63,15,18,,oconndr01
562,Jordan Oesterle,30,DET,D,52,2,9,11,-9,19,2,0,0,0,9,0,0,54,3.7,105,814:06,15:39,0,0,,68,41,4,18,,oestejo01
563,Cole Sillinger,19,CBJ,C,64,3,8,11,-23,22,1,2,0,0,7,1,0,93,3.2,179,851:47,13:19,308,388,44.3,36,105,17,15,,sillico01
564,Derek Stepan,32,CAR,C,73,5,6,11,8,8,5,0,0,0,5,0,1,98,5.1,178,662:53,9:05,229,193,54.3,21,29,24,10,,stepade01
565,Michael Stone,32,CGY,D,48,6,5,11,2,35,6,0,0,1,3,2,0,92,6.5,208,639:02,13:19,0,0,,59,54,6,15,,stonemi01
566,Austin Watson,31,OTT,LW,75,9,2,11,-7,123,6,0,3,2,2,0,0,79,11.4,139,767:28,10:14,7,8,46.7,61,165,19,21,,watsoau01
567,Simon Benoit,24,ANA,D,78,3,7,10,-29,60,3,0,0,0,7,0,0,82,3.7,175,1509:14,19:21,0,0,,128,216,9,35,,benoisi01
568,Colin Blackwell,29,CHI,C,53,2,8,10,-16,6,2,0,0,0,7,0,1,53,3.8,99,625:27,11:48,18,18,50.0,17,49,20,15,,blackco01
569,Teddy Blueger,28,2TM,C,63,4,12,16,-9,30,4,0,0,1,11,0,1,85,4.7,128,813:19,12:55,299,276,52.0,47,71,26,16,,bluegte01
569,Teddy Blueger,28,PIT,C,45,2,8,10,-7,16,2,0,0,1,7,0,1,62,3.2,83,574:34,12:46,198,197,50.1,36,54,24,12,,bluegte01
569,Teddy Blueger,28,VEG,C,18,2,4,6,-2,14,2,0,0,0,4,0,0,23,8.7,45,238:45,13:16,101,79,56.1,11,17,2,4,,bluegte01
570,Brandon Duhaime,25,MIN,RW,51,9,1,10,6,42,8,0,1,3,1,0,0,80,11.3,139,548:36,10:45,4,10,28.6,18,146,19,10,,duhaibr01
571,MacKenzie Entwistle,23,CHI,RW,66,4,6,10,-11,14,4,0,0,0,5,1,0,50,8.0,108,786:31,11:55,93,107,46.5,28,126,15,21,,entwima01
572,Dylan Gambrell,26,OTT,C,60,4,6,10,-4,35,4,0,0,0,4,0,2,46,8.7,87,683:20,11:23,138,168,45.1,45,60,14,17,,gambrdy01
573,Vladislav Gavrikov,27,2TM,D,72,6,13,19,4,38,5,0,1,2,12,0,1,89,6.7,167,1581:56,21:58,0,0,,115,74,27,19,,gavrivl01
573,Vladislav Gavrikov,27,CBJ,D,52,3,7,10,-8,30,3,0,0,2,6,0,1,61,4.9,122,1161:35,22:20,0,0,,89,56,19,14,,gavrivl01
573,Vladislav Gavrikov,27,LAK,D,20,3,6,9,12,8,2,0,1,0,6,0,0,28,10.7,45,420:21,21:01,0,0,,26,18,8,5,,gavrivl01
574,Brad Hunt,34,COL,D,47,4,6,10,4,12,4,0,0,0,6,0,0,46,8.7,97,527:04,11:13,0,0,,10,16,9,7,,huntbr01
575,Saku Mäenalanen,28,WPG,RW,64,4,6,10,0,16,4,0,0,0,6,0,0,61,6.6,109,661:15,10:20,3,5,37.5,31,113,23,16,,maenasa01
576,Josh Manson,31,COL,D,27,2,8,10,13,42,2,0,0,2,8,0,0,41,4.9,71,477:34,17:41,0,0,,41,64,20,13,,mansojo01
577,Tyler Motte,27,2TM,C,62,8,11,19,3,6,7,0,1,1,11,0,0,109,7.3,184,779:30,12:34,21,30,41.2,60,118,29,27,,mottety01
577,Tyler Motte,27,NYR,C,24,5,5,10,2,2,5,0,0,1,5,0,0,44,11.4,77,265:31,11:04,2,1,66.7,17,30,11,5,,mottety01
577,Tyler Motte,27,OTT,C,38,3,6,9,1,4,2,0,1,0,6,0,0,65,4.6,107,513:59,13:32,19,29,39.6,43,88,18,22,,mottety01
578,Jake Neighbours,20,STL,LW,43,6,4,10,-19,24,5,1,0,1,3,1,0,53,11.3,87,534:23,12:26,7,12,36.8,21,63,13,3,,neighja01
579,Mattias Samuelsson,22,BUF,D,55,2,8,10,14,20,2,0,0,0,7,0,1,76,2.6,138,1219:41,22:11,0,0,,91,107,21,21,,samuema02
580,Juraj Slafkovsky,18,MTL,LW,39,4,6,10,-13,33,3,1,0,0,5,1,0,42,9.5,92,476:24,12:13,5,5,50.0,24,53,12,13,,slafkju01
581,Craig Smith,33,2TM,C,64,9,7,16,5,18,9,0,0,2,6,1,0,104,8.7,178,703:59,10:60,2,7,22.2,21,48,22,21,,smithcr01
581,Craig Smith,33,BOS,C,42,4,6,10,4,14,4,0,0,0,5,1,0,51,7.8,89,430:37,10:15,1,5,16.7,8,33,14,10,,smithcr01
581,Craig Smith,33,WSH,C,22,5,1,6,1,4,5,0,0,2,1,0,0,53,9.4,89,273:22,12:26,1,2,33.3,13,15,8,11,,smithcr01
582,Nathan Walker,28,STL,C,56,2,8,10,10,25,2,0,0,1,8,0,0,43,4.7,78,575:54,10:17,95,82,53.7,35,82,8,6,,walkena01
583,Artem Zub,27,OTT,D,53,3,7,10,2,39,3,0,0,0,7,0,0,41,7.3,109,1073:25,20:15,0,0,,67,131,8,31,,zubar01
584,Jacob Bryson,25,BUF,D,59,1,8,9,-24,8,1,0,0,0,7,0,1,27,3.7,58,860:35,14:35,0,0,,69,34,13,8,,brysoja01
585,Alexandre Carrier,26,NSH,D,43,2,7,9,0,27,2,0,0,1,7,0,0,48,4.2,99,769:12,17:53,0,0,,67,57,14,12,,carrial01
586,Alex Chiasson,32,DET,RW,20,6,3,9,-8,6,1,5,0,0,1,2,0,25,24.0,39,241:27,12:04,0,7,0.0,7,14,4,3,,chiasal01
587,Pavel Dorofeyev,22,VEG,LW,18,7,2,9,5,6,5,2,0,3,1,1,0,40,17.5,68,256:09,14:14,0,1,0.0,9,3,5,6,,dorofpa01
588,Anthony Duclair,27,FLA,LW,20,2,7,9,4,2,2,0,0,0,7,0,0,43,4.7,83,297:02,14:51,0,0,,9,20,6,9,,duclaan01
589,Julien Gauthier,25,2TM,RW,57,9,5,14,-6,6,9,0,0,0,5,0,0,53,17.0,94,492:10,8:38,3,5,37.5,13,105,13,10,,gauthju01
589,Julien Gauthier,25,NYR,RW,40,6,3,9,-5,4,6,0,0,0,3,0,0,36,16.7,68,333:53,8:21,3,5,37.5,7,70,6,8,,gauthju01
589,Julien Gauthier,25,OTT,RW,17,3,2,5,-1,2,3,0,0,0,2,0,0,17,17.6,26,158:17,9:19,0,0,,6,35,7,2,,gauthju01
590,Ridly Greig,20,OTT,C,20,2,7,9,1,12,2,0,0,0,4,3,0,30,6.7,52,258:02,12:54,43,66,39.4,3,33,8,8,,greigri01
591,Denis Gurianov,25,2TM,RW,66,7,10,17,-9,10,6,1,0,0,8,2,0,116,6.0,227,870:57,13:12,0,1,0.0,27,43,16,34,,guriade01
591,Denis Gurianov,25,DAL,RW,43,2,7,9,-2,4,2,0,0,0,6,1,0,70,2.9,133,521:45,12:08,0,0,,17,23,11,17,,guriade01
591,Denis Gurianov,25,MTL,RW,23,5,3,8,-7,6,4,1,0,0,2,1,0,46,10.9,94,349:12,15:11,0,1,0.0,10,20,5,17,,guriade01
592,Nils Höglander,22,VAN,LW,25,3,6,9,-4,6,3,0,0,0,6,0,0,29,10.3,58,301:23,12:03,1,1,50.0,8,21,9,9,,hoglani01
593,Dylan Holloway,21,EDM,C,51,3,6,9,0,27,3,0,0,1,6,0,0,44,6.8,83,488:51,9:35,22,40,35.5,16,83,11,18,,hollody01
594,Simon Holmström,21,NYI,RW,50,6,3,9,-4,0,6,0,0,2,3,0,0,39,15.4,77,554:51,11:06,0,3,0.0,22,9,21,13,,holmssi01
595,Joel Kiviranta,26,DAL,F,70,8,1,9,-9,40,7,0,1,0,1,0,0,85,9.4,144,850:48,12:09,3,7,30.0,20,117,29,13,,kivirjo01
596,Brett Leason,23,ANA,RW,54,6,3,9,-21,14,6,0,0,1,3,0,0,51,11.8,101,588:10,10:54,2,4,33.3,18,35,9,9,,leasobr01
