Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,PlayerID
393,Brett Kulak,29,EDM,D,82,3,17,20,11,41,3,0,0,0,14,0,3,114,2.6,211,1435:46,17:31,0,0,,106,105,27,40,,kulakbr01
394,Sean Kuraly,30,CBJ,C,71,11,9,20,-28,68,9,1,1,0,8,0,1,100,11.0,183,1070:13,15:04,567,575,49.6,46,187,30,17,,kuralse01
395,Trevor Lewis,36,CGY,C,82,9,11,20,-7,18,7,1,1,1,11,0,0,144,6.3,224,993:44,12:07,131,178,42.4,33,158,29,13,,lewistr01
396,Ryan Lomberg,28,FLA,LW,82,12,8,20,-1,88,12,0,0,1,8,0,0,134,9.0,218,927:20,11:19,15,15,50.0,24,149,30,13,,lombery01
397,Jake McCabe,29,2TM,D,76,3,22,25,19,56,3,0,0,1,22,0,0,96,3.1,185,1480:06,19:29,0,0,,151,163,32,42,,mccabja01
397,Jake McCabe,29,CHI,D,55,2,18,20,7,27,2,0,0,1,18,0,0,67,3.0,125,1071:14,19:29,0,0,,115,122,29,24,,mccabja01
397,Jake McCabe,29,TOR,D,21,1,4,5,12,29,1,0,0,0,4,0,0,29,3.4,60,408:52,19:28,0,0,,36,41,3,18,,mccabja01
398,Ryan McDonagh,33,NSH,D,71,2,18,20,12,22,2,0,0,1,18,0,0,78,2.6,178,1528:34,21:32,0,0,,165,63,47,59,,mcdonry01
399,Nicklaus Perbix,24,TBL,D,69,5,15,20,11,22,5,0,0,2,15,0,0,111,4.5,205,1062:21,15:24,0,0,,65,73,27,28,AR-4,perbini01
400,Rasmus Ristolainen,28,PHI,D,74,3,17,20,-4,32,1,1,1,0,11,4,2,86,3.5,173,1407:47,19:01,0,0,,142,162,24,43,,ristora01
401,Adam Ružička,23,CGY,C,44,6,14,20,-1,8,4,2,0,2,10,4,0,64,9.4,120,509:20,11:35,83,91,47.7,8,28,12,10,,ruzicad01
402,Derek Ryan,36,EDM,C,80,13,7,20,11,28,11,0,2,0,6,0,1,92,14.1,150,893:17,11:10,217,217,50.0,42,54,43,15,,ryande01
403,Rasmus Sandin,22,2TM,D,71,7,28,35,3,39,7,0,0,0,17,11,0,81,8.6,174,1372:11,19:20,0,0,,87,136,25,48,,sandira01
403,Rasmus Sandin,22,TOR,D,52,4,16,20,10,23,4,0,0,0,9,7,0,58,6.9,119,935:25,17:59,0,0,,59,113,18,38,,sandira01
403,Rasmus Sandin,22,WSH,D,19,3,12,15,-7,16,3,0,0,0,8,4,0,23,13.0,55,436:46,22:59,0,0,,28,23,7,10,,sandira01
404,David Savard,32,MTL,D,62,3,17,20,-14,40,3,0,0,1,16,0,1,63,4.8,123,1388:00,22:23,0,0,,176,61,15,61,,savarda01
405,Joe Veleno,23,DET,C,81,9,11,20,-12,30,8,1,0,1,8,3,0,85,10.6,146,1034:51,12:47,277,374,42.5,44,152,30,17,,velenjo01
406,Cameron York,22,PHI,D,54,2,18,20,-1,18,2,0,0,0,14,3,1,42,4.8,122,1060:52,19:39,0,0,,69,44,13,23,,yorkca01
407,Fabian Zetterlund,23,2TM,W,67,6,17,23,-6,14,5,1,0,1,15,2,0,118,5.1,223,888:13,13:15,7,10,41.2,20,53,21,23,,zettefa01
407,Fabian Zetterlund,23,NJD,W,45,6,14,20,4,6,5,1,0,1,12,2,0,81,7.4,155,582:55,12:57,6,9,40.0,11,34,11,14,,zettefa01
407,Fabian Zetterlund,23,SJS,W,22,0,3,3,-10,8,0,0,0,0,3,0,0,37,0.0,68,305:18,13:53,1,1,50.0,9,19,10,9,,zettefa01
408,Nick Bonino,34,2TM,C,62,10,9,19,-5,28,10,0,0,0,8,1,0,91,11.0,148,986:44,15:55,217,233,48.2,79,19,40,17,,boninni01
408,Nick Bonino,34,SJS,C,59,10,9,19,-6,28,10,0,0,0,8,1,0,88,11.4,144,957:14,16:13,205,218,48.5,74,17,40,15,,boninni01
408,Nick Bonino,34,PIT,C,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,4,29:30,9:50,12,15,44.4,5,2,0,2,,boninni01
409,Ben Chiarot,31,DET,D,76,5,14,19,-31,51,5,0,0,0,14,0,0,110,4.5,231,1566:15,20:37,0,0,,163,147,9,19,,chiarbe01
410,Andrew Cogliano,35,COL,LW,79,10,9,19,6,44,10,0,0,0,7,0,2,85,11.8,131,996:48,12:37,33,37,47.1,54,55,24,9,,coglian01
411,Max Comtois,24,ANA,LW,64,9,10,19,-20,76,9,0,0,0,8,2,0,89,10.1,140,883:52,13:49,23,21,52.3,27,81,11,36,,comtoma01
412,Jake Evans,26,MTL,C,54,2,17,19,-5,28,1,1,0,0,15,0,2,55,3.6,107,782:28,14:29,338,312,52.0,41,27,19,29,,evansja02
413,Hudson Fasching,27,NYI,RW,49,10,9,19,10,10,10,0,0,1,8,1,0,61,16.4,109,611:39,12:29,2,8,20.0,22,45,16,12,,faschhu01
414,Carl Grundström,25,LAK,RW,57,12,7,19,-4,16,11,1,0,2,7,0,0,90,13.3,169,612:52,10:45,4,5,44.4,17,144,14,15,,grundca01
415,Max Jones,24,ANA,LW,69,9,10,19,-21,77,9,0,0,2,10,0,0,107,8.4,185,877:14,12:43,10,12,45.5,18,110,22,18,,jonesma03
416,Steven Lorentz,26,SJS,C,80,10,9,19,-18,16,8,1,1,0,8,0,1,111,9.0,191,946:40,11:50,262,285,47.9,46,133,46,15,,lorenst01
417,Milan Lucic,34,CGY,LW,77,7,12,19,-13,43,7,0,0,0,12,0,0,73,9.6,144,870:38,11:18,17,22,43.6,15,168,29,27,,lucicmi01
418,Matt Martin,33,NYI,LW,81,7,12,19,4,63,7,0,0,1,12,0,0,82,8.5,163,903:02,11:09,9,18,33.3,43,295,15,20,,martima02
419,Ryan O'Reilly,31,2TM,C,53,16,14,30,-21,16,14,1,1,4,10,4,0,102,15.7,163,950:46,17:56,499,396,55.8,23,18,46,10,,oreilry01
419,Ryan O'Reilly,31,STL,C,40,12,7,19,-24,10,10,1,1,3,6,1,0,80,15.0,132,735:45,18:24,385,326,54.1,21,13,36,8,,oreilry01
419,Ryan O'Reilly,31,TOR,C,13,4,7,11,3,6,4,0,0,1,4,3,0,22,18.2,31,215:01,16:32,114,70,62.0,2,5,10,2,,oreilry01
420,Dmitry Orlov,31,2TM,D,66,7,29,36,12,22,6,1,0,2,21,7,1,124,5.6,238,1488:00,22:33,0,0,,85,137,30,49,,orlovdm01
420,Dmitry Orlov,31,WSH,D,43,3,16,19,2,10,3,0,0,2,12,4,0,77,3.9,152,977:00,22:43,0,0,,62,88,20,35,,orlovdm01
420,Dmitry Orlov,31,BOS,D,23,4,13,17,10,12,3,1,0,0,9,3,1,47,8.5,86,511:00,22:13,0,0,,23,49,10,14,,orlovdm01
421,Nate Schmidt,31,WPG,D,71,7,12,19,15,8,4,3,0,0,10,2,0,101,6.9,245,1311:11,18:28,0,0,,85,45,21,50,Byng-27,schmina01
422,Alexey Toropchenko,23,STL,RW,69,10,9,19,6,12,9,0,1,0,9,0,0,86,11.6,129,833:16,12:05,2,6,25.0,46,122,18,23,,toropal01
423,Noel Acciari,31,2TM,C,77,14,9,23,-4,21,14,0,0,2,7,0,2,102,13.7,168,1102:05,14:19,337,289,53.8,81,244,33,13,,acciano01
423,Noel Acciari,31,STL,C,54,10,8,18,-6,10,10,0,0,1,6,0,2,74,13.5,122,787:11,14:35,275,239,53.5,55,168,23,6,,acciano01
423,Noel Acciari,31,TOR,C,23,4,1,5,2,11,4,0,0,1,1,0,0,28,14.3,46,314:54,13:41,62,50,55.4,26,76,10,7,,acciano01
424,Erik Brännström,23,OTT,D,74,2,16,18,5,38,2,0,0,0,15,1,0,74,2.7,200,1192:24,16:07,0,0,,103,49,28,48,,branner01
425,Paul Cotter,23,VEG,C,55,13,5,18,-5,15,13,0,0,1,5,0,0,76,17.1,131,705:29,12:50,11,13,45.8,17,168,17,11,,cottepa01
426,Evgenii Dadonov,33,2TM,RW,73,7,26,33,-8,18,7,0,0,0,18,8,0,110,6.4,204,1074:51,14:43,2,6,25.0,43,33,21,32,,dadonev01
426,Evgenii Dadonov,33,MTL,RW,50,4,14,18,-10,16,4,0,0,0,10,4,0,72,5.6,135,726:37,14:32,2,6,25.0,33,19,15,25,,dadonev01
426,Evgenii Dadonov,33,DAL,RW,23,3,12,15,2,2,3,0,0,0,8,4,0,38,7.9,69,348:14,15:08,0,0,,10,14,6,7,,dadonev01
427,Connor Dewar,23,MIN,C,81,6,12,18,-5,50,3,0,3,0,11,0,1,87,6.9,169,887:55,10:58,222,281,44.1,50,124,18,10,,dewarco01
428,Mattias Ekholm,32,2TM,D,78,9,23,32,28,28,9,0,0,0,18,4,1,135,6.7,286,1674:41,21:28,0,0,,104,91,29,44,,ekholma01
428,Mattias Ekholm,32,NSH,D,57,5,13,18,0,24,5,0,0,0,10,3,0,99,5.1,212,1238:22,21:44,0,0,,76,62,16,28,,ekholma01
428,Mattias Ekholm,32,EDM,D,21,4,10,14,28,4,4,0,0,0,8,1,1,36,11.1,74,436:19,20:47,0,0,,28,29,13,16,,ekholma01
429,Adam Erne,27,DET,LW,61,8,10,18,-12,21,8,0,0,2,9,0,1,55,14.5,114,816:14,13:23,12,14,46.2,55,160,16,17,,ernead01
430,Zemgus Girgensons,29,BUF,C,80,10,8,18,-5,14,10,0,0,0,7,1,0,114,8.8,202,1038:09,12:59,94,113,45.4,49,96,22,8,,girgeze01
431,Derek Grant,32,ANA,C,46,5,13,18,-4,26,5,0,0,0,11,2,0,72,6.9,123,682:55,14:51,272,221,55.2,26,36,18,14,,grantde01
432,Kaiden Guhle,21,MTL,D,44,4,14,18,-19,27,4,0,0,0,14,0,0,48,8.3,107,902:42,20:31,0,0,,77,84,23,51,,guhleka01
433,Justin Holl,31,TOR,D,80,2,16,18,15,39,2,0,0,1,16,0,0,60,3.3,109,1619:19,20:14,0,0,,139,151,28,56,,hollju01
434,Mathieu Joseph,25,OTT,RW,56,3,15,18,5,36,0,1,2,0,12,2,1,66,4.5,124,785:22,14:01,3,6,33.3,28,80,25,18,,josepma01
435,Keegan Kolesar,25,VEG,RW,74,8,10,18,6,68,8,0,0,0,10,0,0,63,12.7,113,849:04,11:28,8,16,33.3,31,279,14,16,,koleske01
436,Timothy Liljegren,23,TOR,D,67,6,12,18,24,30,5,0,1,0,10,1,1,84,7.1,154,1199:52,17:55,0,0,,93,107,11,37,,liljeti01
437,Ryan Lindgren,24,NYR,D,63,1,17,18,29,45,0,0,1,0,16,0,1,75,1.3,159,1186:55,18:50,0,0,,92,68,13,17,,lindgry01
438,John Marino,25,NJD,D,64,4,14,18,21,20,4,0,0,0,13,0,1,67,6.0,145,1348:32,21:04,0,0,,81,44,43,38,,marinjo01
439,Tomáš Nosek,30,BOS,C,66,7,11,18,9,48,5,0,2,1,11,0,0,69,10.1,112,828:28,12:33,354,243,59.3,31,69,20,22,,nosekto01
440,Calle Rosén,28,STL,D,49,8,10,18,19,8,8,0,0,2,10,0,0,62,12.9,115,764:28,15:36,0,0,,51,16,10,25,,rosenca01
441,Braden Schneider,21,NYR,D,81,5,13,18,9,16,5,0,0,1,13,0,0,79,6.3,169,1273:28,15:43,0,0,,130,147,23,52,,schnebr01
442,Philip Tomasino,21,NSH,C,31,5,13,18,5,6,1,4,0,0,11,2,0,54,9.3,102,483:25,15:36,10,8,55.6,16,28,10,15,,tomasph01
443,Marc-Édouard Vlasic,35,SJS,D,78,1,17,18,-14,16,1,0,0,0,17,0,0,67,1.5,179,1362:42,17:28,0,0,,116,45,34,37,Byng-32,vlasima01
444,Jake Walman,26,DET,D,63,9,9,18,10,45,9,0,0,2,7,2,0,140,6.4,257,1242:16,19:43,0,0,,121,47,33,36,,walmaja01
445,Ian Cole,33,TBL,D,78,3,14,17,13,61,3,0,0,0,14,0,0,109,2.8,218,1512:08,19:23,0,0,,123,117,33,45,,coleia01
446,Sheldon Dries,28,VAN,C,63,11,6,17,-9,29,6,4,1,0,5,1,0,94,11.7,161,726:27,11:32,235,236,49.9,40,84,4,18,,driessh01
447,Noah Gregor,24,SJS,C,57,10,7,17,-9,32,10,0,0,1,6,0,1,119,8.4,204,739:31,12:58,7,16,30.4,34,97,25,10,,gregono01
448,Radko Gudas,32,FLA,D,72,2,15,17,14,79,2,0,0,0,15,0,0,110,1.8,246,1249:59,17:22,0,0,,124,312,20,36,,gudasra01
449,Nicolas Hague,24,VEG,D,81,3,14,17,7,51,3,0,0,1,14,0,0,103,2.9,248,1465:22,18:05,0,0,,133,117,19,25,,hagueni01
450,Jordan Harris,22,MTL,D,65,4,13,17,-3,26,4,0,0,0,12,1,0,70,5.7,158,1212:24,18:39,0,0,,98,53,18,29,,harrijo01
451,Denis Malgin,26,2TM,C,65,13,8,21,4,8,13,0,0,1,7,1,0,112,11.6,198,709:46,10:55,4,6,40.0,18,68,29,24,,malgide01
451,Denis Malgin,26,COL,C,42,11,6,17,5,4,11,0,0,1,5,1,0,66,16.7,116,442:31,10:32,2,4,33.3,13,40,21,13,,malgide01
451,Denis Malgin,26,TOR,C,23,2,2,4,-1,4,2,0,0,0,2,0,0,46,4.3,82,267:15,11:37,2,2,50.0,5,28,8,11,,malgide01
452,Brayden McNabb,32,VEG,D,82,1,16,17,17,51,1,0,0,0,14,0,2,89,1.1,219,1627:11,19:51,0,0,,197,201,38,30,,mcnabbr01
453,Sean Monahan,28,MTL,C,25,6,11,17,-5,16,5,1,0,0,8,3,0,55,10.9,84,434:11,17:22,177,144,55.1,8,10,18,14,,monahse01
454,Tyler Myers,32,VAN,D,78,1,16,17,-16,76,1,0,0,0,15,0,1,100,1.0,218,1630:42,20:54,0,0,,144,93,25,48,,myersty01
455,Mason Shaw,24,MIN,C,59,7,10,17,-1,79,7,0,0,0,8,0,2,92,7.6,153,666:08,11:17,15,13,53.6,27,87,17,18,,shawma01
456,Cole Smith,27,NSH,F,69,4,13,17,-3,60,4,0,0,1,11,0,2,64,6.3,118,879:14,12:45,0,5,0.0,25,198,29,15,,smithco02
457,Nils Åman,22,VAN,C,68,4,12,16,-12,18,4,0,0,1,10,0,2,50,8.0,82,863:45,12:42,181,293,38.2,41,44,9,7,,amanni01
458,Mason Appleton,27,WPG,C,41,5,11,16,2,8,4,1,0,0,11,0,0,71,7.0,109,656:47,16:01,2,8,20.0,11,47,12,11,,applema01
459,Ethan Bear,25,VAN,D,61,3,13,16,6,25,3,0,0,1,12,0,1,75,4.0,155,1130:10,18:32,0,0,,82,39,17,28,,bearet01
460,Tyler Bertuzzi,27,2TM,LW,50,8,22,30,-8,29,4,4,0,0,16,6,0,107,7.5,181,824:25,16:29,4,13,23.5,22,54,19,29,,bertuty01
460,Tyler Bertuzzi,27,BOS,LW,21,4,12,16,4,6,1,3,0,0,10,2,0,45,8.9,81,346:33,16:30,2,10,16.7,7,27,13,13,,bertuty01
460,Tyler Bertuzzi,27,DET,LW,29,4,10,14,-12,23,3,1,0,0,6,4,0,62,6.5,100,477:52,16:29,2,3,40.0,15,27,6,16,,bertuty01
461,Brandon Carlo,26,BOS,D,75,3,13,16,44,38,3,0,0,0,11,0,2,94,3.2,174,1412:18,18:50,0,0,,116,128,28,21,,carlobr01
462,Erik Černák,25,TBL,D,70,2,14,16,8,53,1,0,1,0,13,0,1,87,2.3,166,1346:49,19:14,0,0,,100,209,21,31,,cernaer01
463,Lars Eller,33,2TM,C,84,10,13,23,3,46,9,0,1,1,13,0,0,140,7.1,268,1242:31,14:48,549,474,53.7,42,93,40,36,,ellerla01
463,Lars Eller,33,WSH,C,60,7,9,16,-1,36,7,0,0,0,9,0,0,101,6.9,191,914:23,15:14,415,345,54.6,34,80,29,26,,ellerla01
463,Lars Eller,33,COL,C,24,3,4,7,4,10,2,0,1,1,4,0,0,39,7.7,77,328:08,13:40,134,129,51.0,8,13,11,10,,ellerla01
464,Robby Fabbri,27,DET,C,28,7,9,16,-1,22,4,3,0,3,4,5,0,35,20.0,65,447:57,15:60,10,16,38.5,15,49,6,12,,fabbrro01
465,Martin Fehérváry,23,WSH,D,67,6,10,16,-11,31,6,0,0,1,10,0,0,91,6.6,189,1340:01,20:00,0,0,,128,217,13,33,,feherma01
466,Jani Hakanpää,30,DAL,D,82,6,10,16,18,60,6,0,0,1,10,0,0,86,7.0,211,1585:08,19:20,0,0,,128,224,13,51,,hakanja01
467,Garnet Hathaway,31,2TM,RW,84,13,9,22,5,69,13,0,0,3,8,0,1,88,14.8,151,990:48,11:48,3,10,23.1,83,268,12,13,,hathaga01
467,Garnet Hathaway,31,WSH,RW,59,9,7,16,6,52,9,0,0,1,7,0,0,70,12.9,122,714:07,12:06,3,7,30.0,65,198,9,9,,hathaga01
