Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,-9999
25,Anton Forsberg,31,OTT,30,28,15,12,0,84,765,681,.890,3.21,2,3.4,1570,14,.500,10,114,-10.05,0,1,1,2,forsban01
26,Alexandar Georgiev,27,COL,63,62,38,18,5,183,1770,1587,.897,3.02,2,9.0,3638,27,.435,9,107,-11.91,0,2,2,4,georgal01
27,John Gibson,30,ANA,46,44,13,27,2,151,1343,1192,.888,3.54,0,5.6,2561,21,.477,11,116,-21.18,0,0,0,12,gibsojo02
28,Jet Greaves,22,CBJ,9,8,3,6,0,30,327,297,.908,3.49,0,2.0,516,5,.625,2,95,1.61,0,0,0,0,greavje01
29,Philipp Grubauer,32,SEA,36,34,14,16,2,95,941,846,.899,2.85,2,5.0,1997,15,.441,6,104,-4.04,0,1,1,4,grubaph01
30,Filip Gustavsson,25,MIN,45,43,20,18,4,129,1283,1154,.899,3.06,3,6.9,2527,18,.419,9,104,-4.98,0,1,1,0,gustafi01
31,Carter Hart,25,PHI,26,25,12,9,3,68,727,659,.906,2.80,1,4.4,1455,14,.560,5,97,2.27,0,1,1,0,hartca01
32,Magnus Hellberg,32,PIT,3,1,1,0,0,5,64,59,.922,2.50,0,0.5,120,1,1.000,0,81,1.19,0,0,0,0,hellbma01
33,Connor Hellebuyck,30,WPG,60,60,37,19,4,142,1798,1656,.921,2.39,5,13.6,3567,40,.667,7,82,31.80,0,0,0,2,helleco01
34,Adin Hill,27,VEG,35,35,19,12,2,89,979,890,.909,2.71,2,6.2,1969,19,.543,7,94,5.63,0,1,1,0,hillad01
35,Joel Hofer,23,STL,30,27,15,12,1,72,830,758,.913,2.65,1,5.6,1629,16,.593,4,90,8.23,0,1,1,4,hoferjo01
36,Ville Husso,28,DET,19,18,9,5,2,60,556,496,.892,3.55,0,2.6,1013,6,.333,5,112,-6.26,0,1,1,0,hussovi01
37,Michael Hutchinson,33,DET,1,1,0,1,0,3,36,33,.917,3.11,0,0.3,58,1,1.000,0,86,0.48,0,0,0,0,hutchmi01
38,Connor Ingram,26,ARI,50,48,23,21,3,136,1461,1325,.907,2.91,6,8.9,2803,27,.563,11,96,5.22,0,3,3,0,ingraco01
39,Tristan Jarry,28,PIT,51,48,19,25,5,133,1369,1236,.903,2.91,6,7.8,2741,29,.604,12,101,-0.67,1,0,1,4,jarrytr01
40,Jonas Johansson,28,TBL,26,24,12,7,5,83,752,669,.890,3.37,2,3.3,1477,11,.458,3,114,-10.31,0,0,0,0,johanjo03
41,Martin Jones,34,TOR,22,19,11,8,1,56,574,518,.902,2.87,2,3.2,1170,10,.526,2,101,-0.52,0,0,0,0,jonesma02
42,Kaapo Kähkönen,27,TOT,37,33,7,24,3,116,1139,1023,.898,3.64,1,5.9,1914,16,.485,7,105,-5.90,0,1,1,4,kahkoka01
42,Kaapo Kähkönen,27,SJS,31,27,6,20,3,105,996,891,.895,3.81,0,4.8,1651,13,.481,5,109,-8.73,0,1,1,4,kahkoka01
42,Kaapo Kähkönen,27,NJD,6,6,1,4,0,11,143,132,.923,2.51,1,1.1,263,3,.500,2,80,2.82,0,0,0,0,kahkoka01
43,Pyotr Kochetkov,24,CAR,42,40,23,13,4,92,1031,939,.911,2.33,4,6.7,2371,23,.575,7,92,7.66,0,0,0,8,kochepy01
44,Joonas Korpisalo,29,OTT,55,49,21,26,4,168,1523,1355,.890,3.27,0,6.6,3080,22,.449,11,114,-20.79,0,1,1,0,korpijo01
45,Darcy Kuemper,33,WSH,33,30,13,14,3,103,940,837,.890,3.31,1,4.2,1867,14,.467,10,113,-12.14,0,1,1,0,kuempda01
46,Kevin Lankinen,28,NSH,24,17,11,6,0,56,610,554,.908,2.82,1,3.8,1191,9,.529,3,95,2.96,0,1,1,0,lankike01
