Player,empty
Robby Fabbri,
Vladislav Namestnikov,
Tomas Tatar,
Sean Kuraly,
Mathieu Joseph,
Calle Jarnkrok,
Scott Laughton,
Isac Lundestrom,
Derek Grant,
Jake Evans,
Jesperi Kotkaniemi,
Marcus Johansson,
Patric Hornqvist,
Teddy Blueger,
Dustin Brown,
Colton Sissons,
Michael Rasmussen,
Arthur Kaliyev,
Ondrej Kase,
Pat Maroon,
Eric Robinson,
Jordan Greenway,
Rasmus Asplund,
Nick Bonino,
Vasily Podkolzin,
Garnet Hathaway,
Oskar Lindblom,
Warren Foegele,
David Kampf,
Kirby Dach,
Eetu Luostarinen,
Vinnie Hinostroza,
Jason Spezza,
Mattias Janmark,
Yakov Trenin,
Oliver Wahlstrom,
Blake Lizotte,
Barrett Hayton,
Filip Zadina,
Nic Dowd,
Logan O'Connor,
Tyler Ennis,
Keegan Kolesar,
Brendan Gallagher,
Nick Ritchie,
Eeli Tolvanen,
Rudolfs Balcers,
Nicolas Aube-Kubel,
Jesper Boqvist,
Oskar Sundqvist
